keyword,tfidf_weight
서울특별시,0.2167716618098809
경기도,0.18251388009000133
부산광역시,0.060872143533381606
1층,0.05747328131697002
강남구,0.04076836785902625
인천광역시,0.03964954811451197
경상남도,0.03680419067700009
대구광역시,0.035938079658234416
중구,0.035107313808458884
대전광역시,0.026982198085488678
경상북도,0.02683723931173105
충청남도,0.025135908104169335
광주광역시,0.02447087106715651
서초구,0.024382691452235143
서구,0.023466993841960753
용인시,0.020694654522853587
강원특별자치도,0.020670647680293988
수원시,0.02059181822267548
남구,0.020211124723396222
전북특별자치도,0.020043527049193086
성남시,0.019890850135222037
영등포구,0.019077019528392927
충청북도,0.018751107564524153
2층,0.018490072341996067
고양시,0.01830017356233306
북구,0.018258615281520587
송파구,0.017056113913358324
종로구,0.016945688115516163
동구,0.015703784207074866
분당구,0.01406619189862127
